product number,color,SIZE,QTY,,,
D4356A,Black,12,0,,,
D4356A,Black,14,0,,,
D4356A,Black,16,0,,,
,,,,,,
D4375A,Purple,0,0,,,
D4375A,Purple,2,0,,,
D4375A,Purple,4,1,,,
D4375A,Purple,6,0,,,
D4375A,Purple,8,0,,,
D4375A,Purple,10,1,,,
D4375A,Purple,12,0,,,
D4375A,Purple,14,1,,,
D4375A,Purple,16,0,,,
,,,,,,
D4383A,Purple,0,0,,,
D4383A,Purple,2,0,,,
D4383A,Purple,4,0,,,
D4383A,Purple,6,0,,,
D4383A,Purple,8,0,,,
D4383A,Purple,10,0,,,
D4383A,Purple,12,1,,,
D4383A,Purple,14,1,,,
D4383A,Purple,16,3,,,
,,,,,,
D4390A,black,0,0,,,
D4390A,black,2,2,,,
D4390A,black,4,2,,,
D4390A,black,6,0,,,
D4390A,black,8,0,,,
D4390A,black,10,0,,,
D4390A,black,12,0,,,
D4390A,black,14,0,,,
D4390A,black,16,0,,,
,,,,,,
D4399A,black,0,0,,,
D4399A,black,2,0,,,
D4399A,black,4,0,,,
D4399A,black,6,2,,,
D4399A,black,8,0,,,
D4399A,black,10,0,,,
D4399A,black,12,0,,,
D4399A,black,14,0,,,
D4399A,black,16,0,,,
,,,,,,
D4404,Red,0,0,,,
D4404,Red,2,0,,,
D4404,Red,4,1,,,
D4404,Red,6,0,,,
D4404,Red,8,0,,,
D4404,Red,10,0,,,
D4404,Red,12,0,,,
D4404,Red,14,0,,,
D4404,Red,16,0,,,
,,,,,,
D4414A,Green,0,0,,,
D4414A,Green,2,0,,,
D4414A,Green,4,2,,,
D4414A,Green,6,5,,,
D4414A,Green,8,2,,,
D4414A,Green,10,6,,,
D4414A,Green,12,3,,,
D4414A,Green,14,4,,,
D4414A,Green,16,2,,,
,,,,,,
D4460A,Black,0,6,,,
D4460A,Black,2,6,,,
D4460A,Black,4,2,,,
D4460A,Black,6,5,,,
D4460A,Black,8,2,,,
D4460A,Black,10,2,,,
D4460A,Black,12,0,,,
D4460A,Black,14,0,,,
D4460A,Black,16,0,,,
,,,,,,
D4460A,Red,0,0,,,
D4460A,Red,2,0,,,
D4460A,Red,4,3,,,
D4460A,Red,6,4,,,
D4460A,Red,8,1,,,
D4460A,Red,10,1,,,
D4460A,Red,12,0,,,
D4460A,Red,14,0,,,
D4460A,Red,16,0,,,
,,,,,,
D4467,Black,0,0,,,
D4467,Black,2,0,,,
D4467,Black,4,1,,,
D4467,Black,6,1,,,
D4467,Black,8,0,,,
D4467,Black,10,0,,,
D4467,Black,12,0,,,
D4467,Black,14,0,,,
D4467,Black,16,0,,,
,,,,,,
D4467A,black,0,0,,,
D4467A,black,2,0,,,
D4467A,black,4,0,,,
D4467A,black,6,2,,,
D4467A,black,8,0,,,
D4467A,black,10,0,,,
D4467A,black,12,0,,,
D4467A,black,14,0,,,
D4467A,black,16,0,,,
,,,,,,
D4467A,Red,0,0,,,
D4467A,Red,2,0,,,
D4467A,Red,4,0,,,
