Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
Beaded Sequined Evening Dress,D5784L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,645,0,320,Beaded Sequined Evening Dress With Plunge Back and Small Train,BLACK,GOLD-BLACK-NAVY-SILVER,BEADED-NUDE-PLUNGE-SEQUINED-SLEEVELESS-V NECK,Christmas-Formal-Homecoming-New Year-Party-Prom-Valentines-Wedding,,,,,,
Beaded Lace Evening Dress,D5797L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,685,0,345,Beaded Lace Evening Dress with Motif Flower on top,BLACK,BLACK,LACE-PLUNGE-SEQUINED-SLEEVELESS-TULLE-V NECK,Formal,,,,,,
D5799L,D5799L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,685,0,340,Evening Dress,CHARCOAL,GUNMETAL-CHARCOAL,BEADED-PLUNGE-SEQUINED-SLEEVELESS-V NECK,Formal,,,,,,
D5817L,D5817L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,795,0,395,Evening Dress,WHITE,BLACK-TEAL-WHITE,CRYSTAL-PLUNGE-SLEEVELESS-V NECK,Formal,,,,Y,,
D5828L,D5828L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,795,0,395,Evening Dress,BLACK,BLACK,BEADED-PLUNGE-SEQUINED-SLEEVELESS-V NECK-TULLE,Formal,,,,,,
D5829L,D5829L,Womens Apparel,Evening Dresses,Basix Black Label,,795,0,395,Evening Dress,BLUE,BLUE,BEADED-PLUNGE-SEQUINED-SLEEVELESS-TULLE-V NECK,Formal,,,,,,
D5849L,D5849L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,790,0,390,Evening Dress,BLACK,BLACK,BEADED-PLUNGE-SEQUINED-SLEEVELESS-V NECK,Formal,,,,,,
D5886L,D5886L,Womens Apparel,Evening Dresses,Basix Black Label,2011-09-25,1195,0,595,Evening Dress,GOLD,BRONZE-GOLD,BEADED-PLUNGE-SEQUINED-SLEEVELESS-V NECK-TULLE,Formal,,,,,,
D4281L,D4281L,Womens Apparel,Evening Dresses,Basix Black Label,,895,0,445,Evening Dress,BLUE,BLUE,SLEEVELESS,,,yes,,Y,,
D5891L,D5891L,Womens Apparel,Evening Dresses,Basix Black Label,,745,0,375,Evening Dress,CHARCOAL,CHARCOAL-FUCHSIA,BEADED-PLUNGE-SEQUINED-SLEEVELESS-V NECK,Formal,,,,,,
Long Dress With Motif On Waist,D3937L,Womens Apparel,Evening Dresses,Basix Black Label,2011-11-13,895,0,450,Long Dress With Motif On Waist,SILVER,SILVER-BLACK,BEADED-SEQUINED-SLEEVELESS-TULLE-V NECK,Christmas-Formal-New Year-Party,,,,,,
D3193L BASIX,D3193L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,285,565,195,Lace and Sequin Evening Dress by Basix,BLACK,BLACK,LACE-SEQUINED-V NECK,,,yes,,,,
D3469L By BASIX,D3469L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,345,695,220,Beaded and sequined evening dress by basis black label,WHITE,WHITE,BEADED-SEQUINED,,,yes,,,,
D5821L,D5821L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,795,0,395,Evening Dress With Necklace ,RED,RED-BLACK-WHITE,PLEATED-V NECK,,yes,,,,,
Sequin Evening Dress With Flare Skirt ,D5888L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,790,0,390,Long Evening Gown with sequins and flared skirt,RED,NAVY-BLACK--RED,SEQUINED-SLEEVELESS-V NECK,,,,,,,
D5868L,D5868L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,1195,0,595,Long Dress,BLACK NUDE,Black Nude-PINK,BEADED-BEADED-CRYSTAL-NUDE-SEQUINED-SLEEVELESS-V NECK,,no,no,,,,
D5890L,D5890L,Womens Apparel,Evening Dresses,Basix Black Label,2011-12-29,795,0,395,Evening Dress,ROYAL,-ROYAL,BEADED-SEQUINED-SLEEVELESS-V NECK,,,,,,,
D5788L,D5788L,Womens Apparel,Evening Dresses,Basix Black Label,,985,0,490,Evening Dress,PINK,-PINK,FLOWER-SHORT SLEEVE,,,,,,,
Basix Sequin Panel Shimmer Evening Gown,D5806L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,1195,0,595,Sequined Panel Evening Dress with crystal accents and sheer accents on hem ,CHARCOAL,CHARCOAL-SILVER-BRONZE,CRYSTAL-NUDE-SEQUINED-SHIMMER-V NECK,,no,no,,,,
D3371L,D3371L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,285,495,185,Basix Evening Dress with Crystal Belting and Side Slit ,BLACK,BLACK,V NECK,,,yes,,,,
D5896L,D5896L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,1095,0,550,Evening Dress,CHAMPAGNE,CHAMPAGNE,BEADED-BEADED-CRYSTAL-FLOWER-LACE-SEQUINED-SLEEVELESS-TULLE-V NECK,,yes,no,,,,
Flower bustier halter evening dress by Basix,D5127L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,845,0,445,Evening Dress / Custom Order Only 
8 to 10 Weeks Delivery,GREEN ,GREEN,FLARE-FLOWER-HALTER-PLEATED-SLEEVELESS,,,,,Y,,
D5783L,D5783L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,1095,0,550,Sleeveless Sequin Shimmer Paneled Evening Dress,NAVY,CHAMPAGNE-NAVY,SEQUINED-SHIMMER,,yes,no,,,,
D5948L,D5948L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,845,0,425,Evening Dress,IVORY,GOLD-BLACK-IVORY,NUDE-SEQUINED-SLEEVELESS,,,,,,,
D3047L,D3047L,Womens Apparel,Evening Dresses,Basix Black Label,1969-12-31,295,0,0,Evening Dress with Jacket ,GOLD,GOLD,BEADED-PLEATED-SEQUINED,,,yes,,,,
D5908L,D5908L,Womens Apparel,Evening Dresses,Basix Black Label,2012-01-06,745,0,370,Evening Dress,BLUE,BLUE,CRYSTAL-PLEATED-SEQUINED-SLEEVELESS-STRAPLESS,,yes,,,,,
