Product Name,Product Number,Category Name,SubCategory Name,Designer,Product Date,Catalogue Price,Retail Price,Wholesale Price,Product Description,Primary Image Color,Colors,Styles,Events,New Arrival,Clearance,Pre Order,Unpublish,Materials,Trends
D6047A,D6047A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,595,0,295,Cocktail Dress,SILVER,SILVER,CRYSTAL-METALLIC-MINI-SEQUINED,,,,,,,
D6043A,D6043A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,695,0,345,Cocktail Dress,GOLD,GOLD,FLARE-SEQUINED-SLEEVELESS,,,,,,,
D6016A,D6016A,Womens Apparel,Cocktail Dresses ,Basix Black Label,1969-12-31,850,0,425,Long Sleeve Embroidered And Sheer Cocktail Dress,GOLD,GOLD-PLATINUM,EMBROIDERED-LONG-LONG SLEEVE,,no,no,,,,
D5897A,D5897A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,695,0,350,Cocktail Dress,BLACK,BLACK,,,,,,,,
D4116A,D4116A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,395,0,195,Cocktail Dress,BLACK,BLACK,SLEEVELESS,,,,,,,
D6014A,D6014A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,895,0,450,Cocktail Dress,MULTI,MULTI,SLEEVELESS,,,,,,,
D5708A,D5708A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,275,0,135,Cocktail Dress,BLACK,BLACK,CAP SLEEVE-CRYSTAL,,,,,,,
D5825A,D5825A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,695,0,345,Cocktail Dress,BLACK,BLACK-SILVER,LONG SLEEVE-SEQUINED,,,,,,,
D5707B,D5707B,Womens Apparel,Cocktail Dresses ,Basix Black Label,,395,0,195,3/4 Sleeve Cocktail Dress,BLACK,BLACK,3/4 SLEEVE-CRYSTAL,,,,,,,
Little Black Dress,D4368A,Womens Apparel,Cocktail Dresses ,Basix Black Label,,295,0,165,Cocktail Dress,BLACK,BLACK,SLIM,,,,,,,
D6101A,D6101A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,390,0,195,D6101A,BLACK,BLACK-BLACK SILVER,,,no,no,,,,
D6020A,D6020A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,650,0,325,D6020A,PEWTER,PEWTER,,,no,no,,,,
D6035A,D6035A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,790,0,395,D6035A,BLACK,BLACK,,,no,no,,,,
D6036A,D6036A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,650,0,325,D6036A,NAVY,NAVY,,,no,no,,,,
D6053A,D6053A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,790,0,395,D6053A,CHAMPAGNE,CHAMPAGNE,,,no,no,,,,
D6055A,D6055A,Womens Apparel,Cocktail Dresses ,Basix Black Label,2012-09-30,650,0,325,D6055A,GOLD,GOLD,,,no,no,,,,
